Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	8404.52555	8404.52555	8404.52555	8404.52555	0	0	0	0	0	0	3
2	2	0	0.05	34871.1645	21637.845	8404.52555	34871.1645	13233.3195	0	0	0	0	0	3
3	2	0	0.075	45322.5972	29532.7624	8404.52555	45322.5972	21128.2369	0	0	0	0	0	3
4	2	0	0.1	49049.8567	34412.036	8404.52555	49049.8567	26007.5104	0	0	0	0	0	3
5	3	0	0.125	50030.0681	37535.6424	8404.52555	50030.0681	29131.1169	0	0	0	0	0	3
6	3	0	0.15	52372.6151	40008.4712	8404.52555	52372.6151	31603.9456	0	0	0	0	0	3
7	3	0	0.175	52459.6853	41787.2161	8404.52555	52459.6853	33382.6905	0	0	0	0	0	3
8	4	0	0.2	52249.3418	43094.9818	8404.52555	52459.6853	34690.4562	0	0	0	0	0	3
9	4	0	0.225	54936.7672	44410.7357	8404.52555	54936.7672	36006.2102	0	0	0	0	0	3
10	4	0	0.25	54569.9451	45426.6567	8404.52555	54936.7672	37022.1311	0	0	0	0	0	3
11	4	0	0.275	54659.4044	46265.9974	8404.52555	54936.7672	37861.4718	0	0	0	0	0	3
12	5	0	0.3	53311.015	46853.0822	8404.52555	54936.7672	38448.5566	0	0	0	0	0	3
13	5	0	0.325	52416.6208	47281.0467	8404.52555	54936.7672	38876.5211	0	0	0	0	0	3
14	5	0	0.35	51970.3202	47615.9948	8404.52555	54936.7672	39211.4692	0	0	0	0	0	3
15	6	0	0.375	51609.8741	47882.2534	8404.52555	54936.7672	39477.7278	0	0	0	0	0	3
16	6	0	0.4	52613.0331	48177.9271	8404.52555	54936.7672	39773.4016	0	0	0	0	0	3
17	6	0	0.425	53051.3501	48464.5991	8404.52555	54936.7672	40060.0735	0	0	0	0	0	3
18	7	0	0.45	51574.3734	48637.3643	8404.52555	54936.7672	40232.8388	0	0	0	0	0	3
19	7	0	0.475	51752.0047	48801.2927	8404.52555	54936.7672	40396.7672	0	0	0	0	0	3
20	7	0	0.5	51689.3647	48945.6963	8404.52555	54936.7672	40541.1708	0	0	0	0	0	3
21	7	0	0.525	51489.4951	51099.9448	34871.1645	54936.7672	20065.6026	0	0	0	0	0	3
22	8	0	0.55	51665.4896	51939.6611	45322.5972	54936.7672	9614.16995	0	0	0	0	0	3
23	8	0	0.575	51504.1343	52248.7379	49049.8567	54936.7672	5886.91043	0	0	0	0	0	3
24	9	0	0.6	51554.9851	52373.9944	50030.0681	54936.7672	4906.69905	0	0	0	0	0	3
25	9	0	0.625	51621.5574	52453.5688	51489.4951	54936.7672	3447.27204	0	0	0	0	0	3
26	9	0	0.65	52702.6879	52470.0725	51489.4951	54936.7672	3447.27204	0	0	0	0	0	3
27	10	0	0.675	51586.9636	52426.4364	51489.4951	54936.7672	3447.27204	0	0	0	0	0	3
28	10	0	0.7	51410.2996	52384.4843	51410.2996	54936.7672	3526.46758	0	0	0	0	0	3
29	10	0	0.725	51680.6826	52221.68	51410.2996	54659.4044	3249.1048	0	0	0	0	0	3
30	11	0	0.75	51508.2559	52068.5956	51410.2996	54659.4044	3249.1048	0	0	0	0	0	3
31	11	0	0.775	51599.3698	51915.5938	51410.2996	53311.015	1900.71542	0	0	0	0	0	3
32	11	0	0.8	51756.2441	51837.8553	51410.2996	53051.3501	1641.05053	0	0	0	0	0	3
33	12	0	0.825	51741.3869	51804.0936	51410.2996	53051.3501	1641.05053	0	0	0	0	0	3
34	12	0	0.85	52046.3001	51807.8926	51410.2996	53051.3501	1641.05053	0	0	0	0	0	3
35	12	0	0.875	51577.9766	51806.2977	51410.2996	53051.3501	1641.05053	0	0	0	0	0	3
36	13	0	0.9	52183.5341	51784.8228	51410.2996	53051.3501	1641.05053	0	0	0	0	0	3
37	13	0	0.925	51707.3575	51717.6231	51410.2996	52702.6879	1292.38836	0	0	0	0	0	3
38	13	0	0.95	51838.601	51730.8345	51410.2996	52702.6879	1292.38836	0	0	0	0	0	3
39	14	0	0.975	51640.6053	51725.2645	51410.2996	52702.6879	1292.38836	0	0	0	0	0	3
40	14	0	1	51858.6771	51733.7302	51410.2996	52702.6879	1292.38836	1279.223	98.9	0	0	0	3
41	14	0	1.025	51647.4763	51741.6292	51410.2996	52702.6879	752.44932	1279.223	100	0	0	0	3
42	15	0	1.05	51643.0818	51740.5088	51410.2996	52702.6879	752.44932	1279.223	100	0	0	0	3
43	15	0	1.075	53111.0547	51820.8549	51410.2996	53111.0547	752.44932	1279.223	100	0	0	0	3
44	15	0	1.1	51641.5472	51812.3164	51410.2996	53111.0547	752.44932	1279.223	100	0	0	0	3
45	16	0	1.125	52382.992	51851.7453	51410.2996	53111.0547	752.44932	1279.223	100	0	0	0	3
46	16	0	1.15	52448.3663	51891.1172	51410.2996	53111.0547	752.44932	1279.223	100	0	0	0	3
47	16	0	1.175	51931.8456	51854.4104	51410.2996	53111.0547	708.81323	1279.223	100	0	0	0	3
48	17	0	1.2	52402.5323	51893.247	51410.2996	53111.0547	666.861122	1279.223	100	0	0	0	3
49	17	0	1.225	52423.7398	51941.506	51508.2559	53111.0547	504.056894	1279.223	100	0	0	0	3
50	18	0	1.25	52093.0208	51961.1412	51508.2559	53111.0547	350.97243	1279.223	100	0	0	0	3
51	18	0	1.275	51557.4609	51963.4843	51557.4609	53111.0547	245.861151	1279.223	100	0	0	0	3
52	18	0	1.3	52206.8896	51992.4138	51557.4609	53111.0547	274.790664	1279.223	100	0	0	0	3
53	19	0	1.325	52017.9024	52004.8737	51557.4609	53111.0547	287.250584	1279.223	100	0	0	0	3
