Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	303.150361	303.150361	303.150361	303.150361	0	0	0	24.8772	0	0	3
2	2	0	0.05	303.150889	303.150625	303.150361	303.150889	0.000264089737	0	0	42.8121	0	0	3
3	2	0	0.075	303.151578	303.150943	303.150361	303.151578	0.000581777992	0	0	60.4495	0	0	3
4	2	0	0.1	303.152347	303.151294	303.150361	303.152347	0.000932826855	0	0	77.9962	0	0	3
5	3	0	0.125	303.153173	303.15167	303.150361	303.153173	0.00130858926	0	0	102.386	0	0	3
6	3	0	0.15	303.154768	303.152186	303.150361	303.154768	0.00182495398	0	0	118.049	0	0	3
7	3	0	0.175	303.156921	303.152863	303.150361	303.156921	0.00250143772	0	0	139.252	0	0	3
8	4	0	0.2	303.159299	303.153667	303.150361	303.159299	0.00330605031	0	0	130.504	0	0	3
9	4	0	0.225	303.161847	303.154576	303.150361	303.161847	0.00421495537	0	0	101.208	0	0	3
10	4	0	0.25	303.164404	303.155559	303.150361	303.164404	0.00519779495	0	0	94.7444	0	0	3
11	4	0	0.275	303.168244	303.156712	303.150361	303.168244	0.00635103283	0	0	88.2446	0	0	3
12	5	0	0.3	303.172052	303.15799	303.150361	303.172052	0.0076293678	0	0	93.2742	0	0	3
13	5	0	0.325	303.17582	303.159362	303.150361	303.17582	0.00900090434	0	0	114.824	0	0	3
14	5	0	0.35	303.179597	303.160807	303.150361	303.179597	0.0104462737	0	0	128.413	0	0	3
15	6	0	0.375	303.183325	303.162309	303.150361	303.183325	0.0119474412	0	0	119.297	0	0	3
16	6	0	0.4	303.189126	303.163985	303.150361	303.189126	0.0136235144	0	0	107.762	0	0	3
17	6	0	0.425	303.194982	303.165808	303.150361	303.194982	0.0154468983	0	0	92.6446	0	0	3
18	7	0	0.45	303.200519	303.167736	303.150361	303.200519	0.0173752614	0	0	109.509	0	0	3
19	7	0	0.475	303.206045	303.169753	303.150361	303.206045	0.0193915044	0	0	95.4571	0	0	3
20	7	0	0.5	303.211451	303.171838	303.150361	303.211451	0.0214764364	0	0	85.9705	0	0	3
21	7	0	0.525	303.219097	303.175274	303.150889	303.219097	0.0246491231	0	0	96.6654	0	0	3
22	8	0	0.55	303.226447	303.179052	303.151578	303.226447	0.0281093215	0	0	111.916	0	0	3
23	8	0	0.575	303.233424	303.183144	303.152347	303.233424	0.0318505509	0	0	112.406	0	0	3
24	9	0	0.6	303.240186	303.187536	303.153173	303.240186	0.0358667527	0	0	135.527	0	0	3
25	9	0	0.625	303.246763	303.192216	303.154768	303.246763	0.0400298998	0	0	138.452	0	0	3
26	9	0	0.65	303.2568	303.197318	303.156921	303.2568	0.0444550093	0	0	147.753	0	0	3
27	10	0	0.675	303.26602	303.202772	303.159299	303.26602	0.0491053175	0	0	171.645	0	0	3
28	10	0	0.7	303.275078	303.208561	303.161847	303.275078	0.0539853483	0	0	194.643	0	0	3
29	10	0	0.725	303.284012	303.21467	303.164404	303.284012	0.0591107323	0	0	212.76	0	0	3
30	11	0	0.75	303.29274	303.221086	303.168244	303.29274	0.0643742688	0	0	209.626	0	0	3
31	11	0	0.775	303.30553	303.227951	303.172052	303.30553	0.0699601949	0	0	223.475	0	0	3
32	11	0	0.8	303.317985	303.235247	303.17582	303.317985	0.0758853017	0	0	227.638	0	0	3
33	12	0	0.825	303.329919	303.242952	303.179597	303.329919	0.0821448743	0	0	233.689	0	0	3
34	12	0	0.85	303.341686	303.251057	303.183325	303.341686	0.0887481557	0	0	239.002	0	0	3
35	12	0	0.875	303.352678	303.259524	303.189126	303.352678	0.0955397545	0	0	245.245	0	0	3
