Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101273.597	101273.597	101273.597	101273.597	0	0	0	597.882	0	0	3
2	1	0	0.05	101273.206	101273.401	101273.206	101273.597	0.195369256	0	0	129.25	0	0	3
3	2	0	0.075	101273.337	101273.38	101273.206	101273.597	0.2168974	0	0	133.018	0	0	3
4	2	0	0.1	101273.476	101273.404	101273.206	101273.597	0.2168974	0	0	134.544	0	0	3
5	3	0	0.125	101273.632	101273.449	101273.206	101273.632	0.2168974	0	0	134.136	0	0	3
6	3	0	0.15	101273.59	101273.473	101273.206	101273.632	0.2168974	0	0	132.45	0	0	3
7	3	0	0.175	101273.623	101273.494	101273.206	101273.632	0.2168974	0	0	130.643	0	0	3
8	4	0	0.2	101273.613	101273.509	101273.206	101273.632	0.2168974	0	0	128.911	0	0	3
9	4	0	0.225	101273.618	101273.521	101273.206	101273.632	0.2168974	0	0	127.478	0	0	3
10	5	0	0.25	101273.619	101273.531	101273.206	101273.632	0.2168974	0	0	126.431	0	0	3
11	5	0	0.275	101273.623	101273.539	101273.206	101273.632	0.2168974	0	0	126.077	0	0	3
12	5	0	0.3	101273.62	101273.546	101273.206	101273.632	0.2168974	0	0	125.824	0	0	3
13	6	0	0.325	101273.614	101273.551	101273.206	101273.632	0.2168974	0	0	125.714	0	0	3
14	6	0	0.35	101273.612	101273.556	101273.206	101273.632	0.2168974	0	0	125.632	0	0	3
15	6	0	0.375	101273.601	101273.559	101273.206	101273.632	0.2168974	0	0	125.655	0	0	3
16	6	0	0.4	101273.596	101273.561	101273.206	101273.632	0.2168974	0	0	125.686	0	0	3
17	7	0	0.425	101273.591	101273.563	101273.206	101273.632	0.2168974	0	0	125.769	0	0	3
18	7	0	0.45	101273.585	101273.564	101273.206	101273.632	0.2168974	0	0	125.782	0	0	3
19	7	0	0.475	101273.583	101273.565	101273.206	101273.632	0.2168974	0	0	125.881	0	0	3
20	8	0	0.5	101273.581	101273.566	101273.206	101273.632	0.2168974	0	0	125.876	0	0	3
21	8	0	0.525	101273.581	101273.565	101273.206	101273.632	0.185937095	0	0	125.955	0	0	3
