Iteration	CPUTime	PhysTime	Travels	CourFact
1	2	0	0.025	0
2	2	0	0.05	0
3	3	0	0.075	0
4	3	0	0.1	0
5	4	0	0.125	0
6	4	0	0.15	0
7	5	0	0.175	0
8	5	0	0.2	0
9	5	0	0.225	0
10	6	0	0.25	0
11	6	0	0.275	0
12	7	0	0.3	0
13	7	0	0.325	0
14	8	0	0.35	0
15	8	0	0.375	0
16	9	0	0.4	0
17	9	0	0.425	0
18	9	0	0.45	0
19	10	0	0.475	0
20	11	0	0.5	0
21	11	0	0.525	0
22	12	0	0.55	0
23	12	0	0.575	0
24	13	0	0.6	0
25	13	0	0.625	0
26	14	0	0.65	0
27	14	0	0.675	0
28	15	0	0.7	0
29	15	0	0.725	0
30	16	0	0.75	0
31	16	0	0.775	0
32	17	0	0.8	0
33	17	0	0.825	0
34	18	0	0.85	0
35	18	0	0.875	0
36	19	0	0.9	0
37	19	0	0.925	0
38	20	0	0.95	0
39	20	0	0.975	0
40	20	0	1	0
41	21	0	1.025	0
42	21	0	1.05	0
43	22	0	1.075	0
44	22	0	1.1	0
45	23	0	1.125	0
46	23	0	1.15	0
47	24	0	1.175	0
48	24	0	1.2	0
49	25	0	1.225	0
50	25	0	1.25	0
51	26	0	1.275	0
52	26	0	1.3	0
53	27	0	1.325	0
54	28	0	1.35	0
55	28	0	1.375	0
56	29	0	1.4	0
57	29	0	1.425	0
58	30	0	1.45	0
59	30	0	1.475	0
60	31	0	1.5	0
61	31	0	1.525	0
62	32	0	1.55	0
63	32	0	1.575	0
64	33	0	1.6	0
65	33	0	1.625	0
66	34	0	1.65	0
67	34	0	1.675	0
68	35	0	1.7	0
69	36	0	1.725	0
70	36	0	1.75	0
71	36	0	1.775	0
72	37	0	1.8	0
73	37	0	1.825	0
74	38	0	1.85	0
75	38	0	1.875	0
76	39	0	1.9	0
77	39	0	1.925	0
78	39	0	1.95	0
79	40	0	1.975	0
80	40	0	2	0
81	41	0	2.025	0
82	41	0	2.05	0
83	42	0	2.075	0
