Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	294.420159	294.420159	294.420159	294.420159	0	0	0	156.8	0	0	3
2	0	0	0.05	295.997356	295.208758	294.420159	295.997356	0.788598625	0	0	156.8	0	0	3
3	1	0	0.075	297.54505	295.987522	294.420159	297.54505	1.56736266	0	0	156.8	0	0	3
4	1	0	0.1	299.061386	296.755988	294.420159	299.061386	2.3358286	0	0	156.8	0	0	3
5	1	0	0.125	300.381478	297.481086	294.420159	300.381478	3.06092657	0	0	156.8	0	0	3
6	1	0	0.15	302.405029	298.301743	294.420159	302.405029	3.88158384	0	0	156.8	0	0	3
7	1	0	0.175	304.778278	299.226962	294.420159	304.778278	4.8068032	0	0	156.8	0	0	3
8	1	0	0.2	307.215466	300.225525	294.420159	307.215466	5.80536615	0	0	156.8	0	0	3
9	1	0	0.225	309.60042	301.26718	294.420159	309.60042	6.84702114	0	0	156.8	0	0	3
10	2	0	0.25	311.920553	302.332518	294.420159	311.920553	7.91235842	0	0	156.8	0	0	3
11	2	0	0.275	315.211525	303.503336	294.420159	315.211525	9.08317725	0	0	156.8	0	0	3
12	2	0	0.3	318.354838	304.740961	294.420159	318.354838	10.3208024	0	0	156.8	0	0	3
13	2	0	0.325	321.385657	306.021323	294.420159	321.385657	11.6011636	0	0	156.8	0	0	3
14	2	0	0.35	324.321758	307.328497	294.420159	324.321758	12.9083376	0	0	156.8	0	0	3
15	2	0	0.375	327.093328	308.646152	294.420159	327.093328	14.225993	0	0	156.8	0	0	3
16	2	0	0.4	330.94248	310.039673	294.420159	330.94248	15.6195136	0	0	156.8	0	0	3
17	2	0	0.425	334.454258	311.475825	294.420159	334.454258	17.0556657	0	0	156.8	0	0	3
18	3	0	0.45	337.673846	312.93127	294.420159	337.673846	18.5111113	0	0	156.8	0	0	3
19	3	0	0.475	340.638954	314.38957	294.420159	340.638954	19.9694104	0	0	156.8	0	0	3
20	3	0	0.5	343.379892	315.839086	294.420159	343.379892	21.4189265	0	0	156.8	0	0	3
21	3	0	0.525	347.077263	318.471941	295.997356	347.077263	23.2631831	0	0	156.8	0	0	3
22	3	0	0.55	350.412464	321.192696	297.54505	350.412464	25.2051745	0	0	156.8	0	0	3
23	3	0	0.575	353.431672	323.987027	299.061386	353.431672	27.2310396	0	0	156.8	0	0	3
24	3	0	0.6	356.126606	326.840288	300.381478	356.126606	29.3592027	0	0	156.8	0	0	3
25	3	0	0.625	358.506393	329.746534	302.405029	358.506393	31.4447912	0	0	156.8	0	0	3
26	4	0	0.65	361.330482	332.692807	304.778278	361.330482	33.4658444	0	0	156.8	0	0	3
27	4	0	0.675	363.394314	335.623609	307.215466	363.394314	35.3980833	0	0	156.8	0	0	3
28	4	0	0.7	364.807628	338.503217	309.60042	364.807628	37.2360364	0	0	156.8	0	0	3
29	4	0	0.725	365.714525	341.308922	311.920553	365.714525	38.9764044	0	0	156.8	0	0	3
30	4	0	0.75	366.2559	344.025689	315.211525	366.2559	40.5223529	0	0	156.8	0	0	3
31	4	0	0.775	366.635381	346.596882	318.354838	366.635381	41.8559205	0	0	156.8	0	0	3
32	4	0	0.8	366.796366	349.018958	321.385657	366.796366	42.9976357	0	0	156.8	0	0	3
33	4	0	0.825	366.860516	351.292701	324.321758	366.860516	42.538758	0	0	156.8	0	0	3
34	5	0	0.85	366.883586	353.420793	327.093328	366.883586	39.7902572	0	0	156.8	0	0	3
35	5	0	0.875	366.88914	355.410583	330.94248	366.88914	35.94666	0	0	156.8	0	0	3
36	5	0	0.9	366.887518	357.207835	334.454258	366.88914	32.4348819	0	0	156.8	0	0	3
37	5	0	0.925	366.884667	358.829356	337.673846	366.88914	29.215294	0	0	156.8	0	0	3
38	5	0	0.95	366.88348	360.289837	340.638954	366.88914	26.2501867	0	0	156.8	0	0	3
39	5	0	0.975	366.884174	361.602098	343.379892	366.88914	23.5092488	0	0	156.8	0	0	3
40	5	0	1	366.886177	362.777413	347.077263	366.88914	19.8118774	10.4016136	52.5	156.8	0	0	3
41	6	0	1.025	366.890962	363.768098	350.412464	366.890962	16.478498	10.4018869	63.1	156.8	0	0	3
42	6	0	1.05	366.895139	364.592231	353.431672	366.895139	13.4634679	10.4022002	77.2	156.8	0	0	3
43	6	0	1.075	366.898973	365.265596	356.126606	366.898973	10.7723667	10.4016136	96.5	156.8	0	0	3
44	6	0	1.1	366.90204	365.343522	356.126606	366.90204	10.7754337	10.4016136	96.5	156.8	0	0	3
45	6	0	1.125	366.90454	365.856757	358.506393	366.90454	8.39814661	10.4016136	100	156.8	0	0	3
