Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	694.752553	694.752553	694.752553	694.752553	0	0	0	0	0	0	3
2	0	0	0.05	720.20388	707.478217	694.752553	720.20388	12.7256637	0	0	0	0	0	3
3	1	0	0.075	600.755752	671.904062	600.755752	720.20388	35.574155	0	0	0	0	0	3
4	1	0	0.1	524.563036	635.068805	524.563036	720.20388	72.4094113	0	0	0	0	0	3
5	1	0	0.125	475.548661	603.164776	475.548661	720.20388	104.31344	0	0	0	0	0	3
6	1	0	0.15	470.025448	580.974888	470.025448	720.20388	126.503328	0	0	0	0	0	3
7	1	0	0.175	459.505211	563.622077	459.505211	720.20388	143.856139	0	0	0	0	0	3
8	1	0	0.2	451.756874	549.638927	451.756874	720.20388	157.83929	0	0	0	0	0	3
9	1	0	0.225	444.353797	537.940579	444.353797	720.20388	169.537637	0	0	0	0	0	3
10	2	0	0.25	436.71075	527.817596	436.71075	720.20388	179.66062	0	0	0	0	0	3
11	2	0	0.275	421.295127	518.133735	421.295127	720.20388	189.344481	0	0	0	0	0	3
12	2	0	0.3	408.921803	509.032741	408.921803	720.20388	198.445476	0	0	0	0	0	3
13	2	0	0.325	397.260264	500.434858	397.260264	720.20388	207.043358	0	0	0	0	0	3
14	2	0	0.35	385.703445	492.239757	385.703445	720.20388	215.238459	0	0	0	0	0	3
15	2	0	0.375	373.830215	484.345788	373.830215	720.20388	223.132429	0	0	0	0	0	3
16	2	0	0.4	356.832356	476.376198	356.832356	720.20388	231.102018	0	0	0	0	0	3
17	2	0	0.425	341.919494	468.46698	341.919494	720.20388	239.011236	0	0	0	0	0	3
18	3	0	0.45	328.840024	460.709927	328.840024	720.20388	246.768289	0	0	0	0	0	3
19	3	0	0.475	317.038838	453.148291	317.038838	720.20388	254.329926	0	0	0	0	0	3
20	3	0	0.5	306.468503	445.814302	306.468503	720.20388	261.663915	0	0	0	0	0	3
21	3	0	0.525	293.503594	425.751854	293.503594	720.20388	281.726363	0	0	0	0	0	3
22	3	0	0.55	282.954449	403.889382	282.954449	600.755752	268.01468	0	0	0	0	0	3
23	3	0	0.575	274.355565	387.569373	274.355565	524.563036	247.499432	0	0	0	0	0	3
24	3	0	0.6	267.336561	374.708049	267.336561	475.548661	208.2121	0	0	0	0	0	3
25	3	0	0.625	261.604505	364.010841	261.604505	470.025448	208.420943	0	0	0	0	0	3
26	4	0	0.65	255.550559	353.287097	255.550559	459.505211	203.954652	0	0	0	0	0	3
27	4	0	0.675	250.969043	342.860288	250.969043	451.756874	200.787831	0	0	0	0	0	3
28	4	0	0.7	247.571293	332.651009	247.571293	444.353797	196.782504	0	0	0	0	0	3
29	4	0	0.725	244.996902	322.683164	244.996902	436.71075	191.713847	0	0	0	0	0	3
30	4	0	0.75	243.002485	312.997751	243.002485	421.295127	178.292642	0	0	0	0	0	3
31	4	0	0.775	241.07564	303.986777	241.07564	408.921803	167.846163	0	0	0	0	0	3
32	4	0	0.8	239.627907	295.522082	239.627907	397.260264	157.632357	0	0	0	0	0	3
33	4	0	0.825	238.552835	287.586711	238.552835	385.703445	147.15061	0	0	0	0	0	3
34	5	0	0.85	237.717582	280.187417	237.717582	373.830215	136.112633	0	0	0	0	0	3
35	5	0	0.875	237.054014	273.348607	237.054014	356.832356	119.778342	0	0	0	0	0	3
36	5	0	0.9	236.416885	267.327834	236.416885	341.919494	105.50261	0	0	0	0	0	3
37	5	0	0.925	235.92979	262.028349	235.92979	328.840024	92.910234	0	0	0	0	0	3
38	5	0	0.95	235.584237	257.365559	235.584237	317.038838	81.4546003	0	0	0	0	0	3
39	5	0	0.975	235.297212	253.278478	235.297212	306.468503	71.171291	0	0	0	0	0	3
40	5	0	1	235.085497	249.709328	235.085497	293.503594	58.4180966	54.8505382	0	0	0	0	3
41	6	0	1.025	234.917989	246.780048	234.917989	282.954449	48.0364595	54.8756643	0	0	0	0	3
42	6	0	1.05	234.762928	244.370471	234.762928	274.355565	39.5926373	54.8872939	0	0	0	0	3
43	6	0	1.075	234.686132	242.387	234.686132	267.336561	32.6504283	54.8505382	0	0	0	0	3
44	6	0	1.1	234.610984	242.016713	234.610984	267.336561	32.7255762	54.8505382	0	0	0	0	3
45	6	0	1.125	234.547144	240.455313	234.547144	261.604505	27.0573604	54.8505382	0	0	0	0	3
