Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	1.07044619e-007	1.07044619e-007	1.07044619e-007	1.07044619e-007	0	0	0	0	0	0	3
2	0	0	0.05	6.97585793e-010	5.38711024e-008	6.97585793e-010	1.07044619e-007	5.31735166e-008	0	0	0	0	0	3
3	1	0	0.075	-3.93193621e-010	3.57830037e-008	-3.93193621e-010	1.07044619e-007	7.12616153e-008	0	0	0	0	0	3
4	1	0	0.1	-2.28862174e-010	2.67800373e-008	-3.93193621e-010	1.07044619e-007	8.02645818e-008	0	0	0	0	0	3
5	1	0	0.125	-2.27861792e-010	2.13784574e-008	-3.93193621e-010	1.07044619e-007	8.56661616e-008	0	0	0	0	0	3
6	1	0	0.15	-2.67574478e-010	1.77707855e-008	-3.93193621e-010	1.07044619e-007	8.92738336e-008	0	0	0	0	0	3
7	1	0	0.175	-1.2188358e-010	1.52146899e-008	-3.93193621e-010	1.07044619e-007	9.18299292e-008	0	0	0	0	0	3
8	1	0	0.2	-7.7013626e-011	1.33032269e-008	-3.93193621e-010	1.07044619e-007	9.37413921e-008	0	0	0	0	0	3
9	1	0	0.225	-9.27320269e-011	1.18147871e-008	-3.93193621e-010	1.07044619e-007	9.5229832e-008	0	0	0	0	0	3
10	2	0	0.25	-1.63451012e-010	1.06169633e-008	-3.93193621e-010	1.07044619e-007	9.64276558e-008	0	0	0	0	0	3
11	2	0	0.275	-5.21078201e-011	9.6470477e-009	-3.93193621e-010	1.07044619e-007	9.73975713e-008	0	0	0	0	0	3
12	2	0	0.3	-7.28959081e-011	8.8370524e-009	-3.93193621e-010	1.07044619e-007	9.82075666e-008	0	0	0	0	0	3
13	2	0	0.325	-8.63089228e-011	8.15063999e-009	-3.93193621e-010	1.07044619e-007	9.8893979e-008	0	0	0	0	0	3
14	2	0	0.35	-7.7804308e-011	7.56289397e-009	-3.93193621e-010	1.07044619e-007	9.94817251e-008	0	0	0	0	0	3
15	2	0	0.375	-7.19918336e-011	7.05390158e-009	-3.93193621e-010	1.07044619e-007	9.99907175e-008	0	0	0	0	0	3
16	2	0	0.4	-6.55162698e-011	6.60893797e-009	-3.93193621e-010	1.07044619e-007	1.00435681e-007	0	0	0	0	0	3
17	2	0	0.425	-9.65815498e-011	6.21449564e-009	-3.93193621e-010	1.07044619e-007	1.00830123e-007	0	0	0	0	0	3
