Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	101325.069	101325.069	101325.069	101325.069	0	0	0	0.140642	0	0	3
2	0	0	0.05	101325.063	101325.066	101325.063	101325.069	0.00260161526	0	0	0.120521	0	0	3
3	1	0	0.075	101325.051	101325.061	101325.051	101325.069	0.00762629569	0	0	0.0867046	0	0	3
4	1	0	0.1	101325.039	101325.056	101325.039	101325.069	0.0130692951	0	0	0.0694285	0	0	3
5	1	0	0.125	101325.03	101325.05	101325.03	101325.069	0.0182113163	0	0	0.0581253	0	0	3
6	1	0	0.15	101325.029	101325.047	101325.029	101325.069	0.0217566751	0	0	0.0571977	0	0	3
7	1	0	0.175	101325.028	101325.044	101325.028	101325.069	0.0244420232	0	0	0.0555252	0	0	3
8	1	0	0.2	101325.027	101325.042	101325.027	101325.069	0.0265934005	0	0	0.0537306	0	0	3
9	1	0	0.225	101325.026	101325.04	101325.026	101325.069	0.0283883616	0	0	0.0519278	0	0	3
10	2	0	0.25	101325.025	101325.039	101325.025	101325.069	0.0299213543	0	0	0.0503366	0	0	3
11	2	0	0.275	101325.024	101325.037	101325.024	101325.069	0.0312742066	0	0	0.0485705	0	0	3
12	2	0	0.3	101325.023	101325.036	101325.023	101325.069	0.0325070245	0	0	0.0465457	0	0	3
13	2	0	0.325	101325.021	101325.035	101325.021	101325.069	0.0336370637	0	0	0.0447659	0	0	3
14	2	0	0.35	101325.02	101325.034	101325.02	101325.069	0.034677845	0	0	0.0432015	0	0	3
15	2	0	0.375	101325.02	101325.033	101325.02	101325.069	0.0356417328	0	0	0.0417918	0	0	3
16	2	0	0.4	101325.019	101325.032	101325.019	101325.069	0.0365382045	0	0	0.0405397	0	0	3
17	2	0	0.425	101325.018	101325.031	101325.018	101325.069	0.0373903027	0	0	0.0390365	0	0	3
18	3	0	0.45	101325.017	101325.03	101325.017	101325.069	0.0381965871	0	0	0.0377803	0	0	3
19	3	0	0.475	101325.016	101325.03	101325.016	101325.069	0.0389565084	0	0	0.0367557	0	0	3
20	3	0	0.5	101325.015	101325.029	101325.015	101325.069	0.0396714031	0	0	0.0359042	0	0	3
21	3	0	0.525	101325.015	101325.026	101325.015	101325.063	0.0397577457	0	0	0.0352338	0	0	3
22	3	0	0.55	101325.014	101325.024	101325.014	101325.051	0.0366258279	0	0	0.0345273	0	0	3
23	3	0	0.575	101325.014	101325.022	101325.014	101325.039	0.0253390201	0	0	0.0339655	0	0	3
24	3	0	0.6	101325.014	101325.021	101325.014	101325.03	0.0162912901	0	0	0.0335399	0	0	3
25	3	0	0.625	101325.013	101325.02	101325.013	101325.029	0.0158351637	0	0	0.0332286	0	0	3
26	4	0	0.65	101325.013	101325.019	101325.013	101325.028	0.0149486739	0	0	0.0330049	0	0	3
27	4	0	0.675	101325.013	101325.018	101325.013	101325.027	0.0140180926	0	0	0.0328034	0	0	3
28	4	0	0.7	101325.013	101325.018	101325.013	101325.026	0.0130481829	0	0	0.0326542	0	0	3
29	4	0	0.725	101325.013	101325.017	101325.013	101325.025	0.0121709669	0	0	0.0325442	0	0	3
30	4	0	0.75	101325.013	101325.016	101325.013	101325.024	0.0111492321	0	0	0.0324716	0	0	3
31	4	0	0.775	101325.013	101325.016	101325.013	101325.023	0.0099379803	0	0	0.0324102	0	0	3
32	4	0	0.8	101325.013	101325.015	101325.013	101325.021	0.00885635075	0	0	0.0323581	0	0	3
33	4	0	0.825	101325.013	101325.015	101325.013	101325.02	0.00788670532	0	0	0.032314	0	0	3
34	5	0	0.85	101325.013	101325.014	101325.013	101325.02	0.0069906554	0	0	0.0322798	0	0	3
35	5	0	0.875	101325.013	101325.014	101325.013	101325.019	0.00616644447	0	0	0.0322538	0	0	3
36	5	0	0.9	101325.012	101325.014	101325.012	101325.018	0.00514538911	0	0	0.0322364	0	0	3
37	5	0	0.925	101325.012	101325.014	101325.012	101325.017	0.00428254521	0	0	0.0322207	0	0	3
38	5	0	0.95	101325.012	101325.013	101325.012	101325.016	0.00356432519	0	0	0.0322088	0	0	3
39	5	0	0.975	101325.012	101325.013	101325.012	101325.015	0.00295612805	0	0	0.0321994	0	0	3
40	5	0	1	101325.012	101325.013	101325.012	101325.015	0.00245991866	0.00578151299	0	0.0321927	0	0	3
41	6	0	1.025	101325.012	101325.013	101325.012	101325.014	0.00192290141	0.00578230939	0	0.0321887	0	0	3
42	6	0	1.05	101325.012	101325.013	101325.012	101325.014	0.00149131154	0.00578262733	0	0.0321865	0	0	3
43	6	0	1.075	101325.012	101325.013	101325.012	101325.014	0.0011617547	0.00578151299	0	0.0321845	0	0	3
44	6	0	1.1	101325.012	101325.013	101325.012	101325.014	0.00116430133	0.00578151299	0	0.0321841	0	0	3
45	6	0	1.125	101325.012	101325.013	101325.012	101325.013	0.000918516234	0.00578151299	0	0.0321826	0	0	3
