Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	294.546349	294.546349	294.546349	294.546349	0	0	0	156.8	0	0	3
2	0	0	0.05	295.961622	295.253986	294.546349	295.961622	0.707636	0	0	156.8	0	0	3
3	1	0	0.075	297.142777	295.883583	294.546349	297.142777	1.33723302	0	0	156.8	0	0	3
4	1	0	0.1	298.172807	296.455889	294.546349	298.172807	1.90953903	0	0	156.8	0	0	3
5	1	0	0.125	299.136437	296.991998	294.546349	299.136437	2.44564867	0	0	156.8	0	0	3
6	1	0	0.15	300.821173	297.630194	294.546349	300.821173	3.0838445	0	0	156.8	0	0	3
7	1	0	0.175	302.835139	298.373758	294.546349	302.835139	3.82740806	0	0	156.8	0	0	3
8	1	0	0.2	304.917726	299.191754	294.546349	304.917726	4.64540409	0	0	156.8	0	0	3
9	1	0	0.225	306.954319	300.054261	294.546349	306.954319	5.50791141	0	0	156.8	0	0	3
10	2	0	0.25	308.923663	300.941201	294.546349	308.923663	6.39485165	0	0	156.8	0	0	3
11	2	0	0.275	311.672152	301.916742	294.546349	311.672152	7.37039264	0	0	156.8	0	0	3
12	2	0	0.3	314.249167	302.944444	294.546349	314.249167	8.39809468	0	0	156.8	0	0	3
13	2	0	0.325	316.662478	303.999678	294.546349	316.662478	9.45332809	0	0	156.8	0	0	3
14	2	0	0.35	318.915645	305.065104	294.546349	318.915645	10.5187543	0	0	156.8	0	0	3
15	2	0	0.375	321.009293	306.12805	294.546349	321.009293	11.5817002	0	0	156.8	0	0	3
16	2	0	0.4	323.791716	307.232029	294.546349	323.791716	12.6856794	0	0	156.8	0	0	3
17	2	0	0.425	326.260616	308.351358	294.546349	326.260616	13.8050081	0	0	156.8	0	0	3
18	3	0	0.45	328.45081	309.467994	294.546349	328.45081	14.9216443	0	0	156.8	0	0	3
19	3	0	0.475	330.38765	310.569028	294.546349	330.38765	16.0226788	0	0	156.8	0	0	3
20	3	0	0.5	332.094883	311.645321	294.546349	332.094883	17.0989716	0	0	156.8	0	0	3
21	3	0	0.525	334.20151	313.628079	295.961622	334.20151	18.3740936	0	0	156.8	0	0	3
22	3	0	0.55	335.919123	315.625954	297.142777	335.919123	19.7423716	0	0	156.8	0	0	3
23	3	0	0.575	337.303562	317.633993	298.172807	337.303562	21.1781049	0	0	156.8	0	0	3
24	3	0	0.6	338.398602	319.645283	299.136437	338.398602	22.653285	0	0	156.8	0	0	3
25	3	0	0.625	339.254427	321.651183	300.821173	339.254427	24.0209887	0	0	156.8	0	0	3
26	4	0	0.65	340.127127	323.61648	302.835139	340.127127	25.2427229	0	0	156.8	0	0	3
27	4	0	0.675	340.699861	325.509717	304.917726	340.699861	26.3179629	0	0	156.8	0	0	3
28	4	0	0.7	341.068962	327.317278	306.954319	341.068962	27.2630174	0	0	156.8	0	0	3
29	4	0	0.725	341.305445	329.034835	308.923663	341.305445	28.0936334	0	0	156.8	0	0	3
30	4	0	0.75	341.458609	330.661582	311.672152	341.458609	28.7448398	0	0	156.8	0	0	3
31	4	0	0.775	341.589115	332.15743	314.249167	341.589115	27.3399482	0	0	156.8	0	0	3
32	4	0	0.8	341.668309	333.528387	316.662478	341.668309	25.0058305	0	0	156.8	0	0	3
33	4	0	0.825	341.720853	334.781306	318.915645	341.720853	22.8052081	0	0	156.8	0	0	3
34	5	0	0.85	341.758275	335.923437	321.009293	341.758275	20.7489821	0	0	156.8	0	0	3
35	5	0	0.875	341.786535	336.962299	323.791716	341.786535	17.9948184	0	0	156.8	0	0	3
36	5	0	0.9	341.81548	337.863488	326.260616	341.81548	15.5548639	0	0	156.8	0	0	3
37	5	0	0.925	341.836817	338.642298	328.45081	341.836817	13.3860079	0	0	156.8	0	0	3
38	5	0	0.95	341.854375	339.312476	330.38765	341.854375	11.4667243	0	0	156.8	0	0	3
39	5	0	0.975	341.86814	339.8865	332.094883	341.86814	9.77325703	0	0	156.8	0	0	3
40	5	0	1	341.879299	340.375721	334.20151	341.879299	7.67778859	6.71047831	0	156.8	0	0	3
41	6	0	1.025	341.891277	340.76021	335.919123	341.891277	5.9721539	6.71227501	0	156.8	0	0	3
42	6	0	1.05	341.899489	341.059228	337.303562	341.899489	4.59592745	6.71289094	0	156.8	0	0	3
43	6	0	1.075	341.90581	341.28934	338.398602	341.90581	3.507208	6.71047831	0	156.8	0	0	3
44	6	0	1.1	341.91261	341.31902	338.398602	341.91261	3.51400786	6.71047831	0	156.8	0	0	3
45	6	0	1.125	341.915517	341.486492	339.254427	341.915517	2.66108993	6.71047831	0	156.8	0	0	3
