Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	299.854223	299.854223	299.854223	299.854223	0	0	0	9.10444	0	0	3
2	3	0	0.05	304.570101	302.212162	299.854223	304.570101	2.35793897	0	0	11.9828	0	0	3
3	3	0	0.075	308.763889	304.396071	299.854223	308.763889	4.5418479	0	0	15.5975	0	0	3
4	4	0	0.1	312.932577	306.530198	299.854223	312.932577	6.67597422	0	0	19.7188	0	0	3
5	5	0	0.125	317.11136	308.64643	299.854223	317.11136	8.79220665	0	0	23.8883	0	0	3
6	6	0	0.15	321.264014	310.749361	299.854223	321.264014	10.8951373	0	0	28.0286	0	0	3
7	7	0	0.175	325.41304	312.844172	299.854223	325.41304	12.9899487	0	0	35.2364	0	0	3
8	8	0	0.2	329.672247	314.947682	299.854223	329.672247	15.093458	0	0	36.4121	0	0	3
9	9	0	0.225	334.167495	317.083216	299.854223	334.167495	17.2289929	0	0	40.8974	0	0	3
10	10	0	0.25	339.058446	319.280739	299.854223	339.058446	19.4265158	0	0	45.7722	0	0	3
11	11	0	0.275	368.277802	323.735018	299.854223	368.277802	23.8807943	0	0	63.3516	0	0	3
12	12	0	0.3	401.179807	330.18875	299.854223	401.179807	30.3345267	0	0	74.3956	0	0	3
13	12	0	0.325	433.443272	338.131406	299.854223	433.443272	38.2771822	0	0	97.9847	0	0	3
14	13	0	0.35	466.595367	347.307403	299.854223	466.595367	47.4531794	0	0	126.498	0	0	3
15	14	0	0.375	502.455338	357.650599	299.854223	502.455338	57.7963751	0	0	155.824	0	0	3
16	15	0	0.4	544.282756	369.315108	299.854223	544.282756	69.4608849	0	0	190.864	0	0	3
17	16	0	0.425	586.277244	382.077587	299.854223	586.277244	82.2233635	0	0	223.449	0	0	3
18	17	0	0.45	628.336469	395.758636	299.854223	628.336469	95.9044125	0	0	249.032	0	0	3
19	18	0	0.475	668.428891	410.109702	299.854223	668.428891	110.255479	0	0	275.003	0	0	3
20	19	0	0.5	707.043519	424.956393	299.854223	707.043519	125.102169	0	0	298.564	0	0	3
21	19	0	0.525	751.750783	447.551221	304.570101	751.750783	145.339058	0	0	323.379	0	0	3
22	20	0	0.55	791.559186	471.900675	308.763889	791.559186	167.504604	0	0	345.118	0	0	3
23	21	0	0.575	828.476203	497.886291	312.932577	828.476203	191.356093	0	0	359.934	0	0	3
24	22	0	0.6	862.091623	525.344243	317.11136	862.091623	216.697813	0	0	373.636	0	0	3
25	22	0	0.625	893.152637	554.146307	321.264014	893.152637	243.396946	0	0	385.217	0	0	3
26	23	0	0.65	929.14927	584.54057	325.41304	929.14927	271.696398	0	0	396.726	0	0	3
27	24	0	0.675	959.582272	616.249031	329.672247	959.582272	301.30135	0	0	405.037	0	0	3
