Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	-14.1849279	-14.1849279	-14.1849279	-14.1849279	0	0	0	0	0	0	3
2	3	0	0.05	-11.6145417	-12.8997348	-14.1849279	-11.6145417	1.28519312	0	0	0	0	0	3
3	3	0	0.075	-9.63380098	-11.8110902	-14.1849279	-9.63380098	2.37383772	0	0	0	0	0	3
4	4	0	0.1	-8.08040849	-10.8784198	-14.1849279	-8.08040849	3.30650814	0	0	0	0	0	3
5	5	0	0.125	-6.6533518	-10.0334062	-14.1849279	-6.6533518	4.15152173	0	0	0	0	0	3
6	6	0	0.15	-4.58011284	-9.12452395	-14.1849279	-4.58011284	5.06040395	0	0	0	0	0	3
7	7	0	0.175	-2.00570786	-8.10755022	-14.1849279	-2.00570786	6.07737768	0	0	0	0	0	3
8	8	0	0.2	-0.411009047	-7.14548257	-14.1849279	-0.411009047	7.03944533	0	0	0	0	0	3
9	9	0	0.225	-0.0754281952	-6.35992097	-14.1849279	-0.0754281952	7.82500692	0	0	0	0	0	3
10	10	0	0.25	0.131789391	-5.71074994	-14.1849279	0.131789391	8.47417796	0	0	0	0	0	3
11	11	0	0.275	4.58792228	-4.77450701	-14.1849279	4.58792228	9.41042089	0	0	0	0	0	3
12	12	0	0.3	6.76443892	-3.81292818	-14.1849279	6.76443892	10.3719997	0	0	0	0	0	3
13	12	0	0.325	17.4707458	-2.17572249	-14.1849279	17.4707458	12.0092054	0	0	0	0	0	3
14	13	0	0.35	29.2371627	0.0680550267	-14.1849279	29.2371627	14.2529829	0	0	0	0	0	3
15	14	0	0.375	38.3531514	2.62039479	-14.1849279	38.3531514	16.8053227	0	0	0	0	0	3
16	15	0	0.4	42.7863514	5.13076708	-14.1849279	42.7863514	19.315695	0	0	0	0	0	3
17	16	0	0.425	49.8549072	7.76159885	-14.1849279	49.8549072	21.9465267	0	0	0	0	0	3
18	17	0	0.45	57.092252	10.5021907	-14.1849279	57.092252	24.6871186	0	0	0	0	0	3
19	18	0	0.475	62.7663593	13.2529364	-14.1849279	62.7663593	27.4378643	0	0	0	0	0	3
20	19	0	0.5	67.5059956	15.9655894	-14.1849279	67.5059956	30.1505173	0	0	0	0	0	3
21	19	0	0.525	67.5030458	20.049988	-11.6145417	67.5059956	32.9497228	0	0	0	0	0	3
22	20	0	0.55	69.2293104	24.0921807	-9.63380098	69.2293104	35.9032708	0	0	0	0	0	3
23	21	0	0.575	71.4916964	28.1484555	-8.08040849	71.4916964	39.0268753	0	0	0	0	0	3
24	22	0	0.6	72.7692413	32.190938	-6.6533518	72.7692413	42.2243442	0	0	0	0	0	3
25	22	0	0.625	73.9487314	36.2210422	-4.58011284	73.9487314	45.3455661	0	0	0	0	0	3
26	23	0	0.65	72.8037904	40.0902373	-2.00570786	73.9487314	48.1977876	0	0	0	0	0	3
27	24	0	0.675	73.3292843	43.8569869	-0.411009047	73.9487314	51.0024695	0	0	0	0	0	3
28	25	0	0.7	74.7523483	47.6151548	-0.0754281952	74.7523483	53.9750758	0	0	0	0	0	3
29	26	0	0.725	75.7813999	51.4079962	0.131789391	75.7813999	57.1187462	0	0	0	0	0	3
30	27	0	0.75	76.1101135	55.2069124	4.58792228	76.1101135	59.9814194	0	0	0	0	0	3
31	27	0	0.775	75.8684332	58.770938	6.76443892	76.1101135	62.5838661	0	0	0	0	0	3
32	28	0	0.8	76.7010759	62.2677698	17.4707458	76.7010759	59.23033	0	0	0	0	0	3
33	29	0	0.825	77.5258918	65.2705271	29.2371627	77.5258918	48.2887291	0	0	0	0	0	3
34	30	0	0.85	77.7450954	67.6959237	38.3531514	77.7450954	39.3919439	0	0	0	0	0	3
35	31	0	0.875	78.2341504	69.6899737	42.7863514	78.2341504	35.447799	0	0	0	0	0	3
36	31	0	0.9	78.4102477	71.4711685	49.8549072	78.4102477	28.5553405	0	0	0	0	0	3
37	32	0	0.925	78.5288649	72.9048664	57.092252	78.5288649	21.4366129	0	0	0	0	0	3
38	33	0	0.95	79.00169	74.0003383	62.7663593	79.00169	16.2353308	0	0	0	0	0	3
39	34	0	0.975	79.2124353	74.8226421	67.5030458	79.2124353	11.7093895	0	0	0	0	0	3
40	34	0	1	79.181142	75.4063994	67.5030458	79.2124353	11.7093895	11.7042478	0	0	0	0	3
41	35	0	1.025	79.4100451	76.0017494	69.2293104	79.4100451	10.1807347	11.7302801	0	0	0	0	3
42	36	0	1.05	79.4624364	76.5134057	71.4916964	79.4624364	7.97074008	11.733731	0	0	0	0	3
43	37	0	1.075	79.4431749	76.9109796	72.7692413	79.4624364	6.6931951	11.7042478	0	0	0	0	3
44	38	0	1.1	79.6887664	77.0432552	72.7692413	79.6887664	6.91952508	11.7042478	0	0	0	0	3
45	39	0	1.125	79.6041323	77.3687262	72.8037904	79.6887664	6.88497599	11.7042478	0	0	0	0	3
46	39	0	1.15	79.6601634	77.6406991	72.8037904	79.6887664	6.88497599	11.7042478	0	0	0	0	3
47	40	0	1.175	79.8893406	77.9781063	73.3292843	79.8893406	6.56005633	11.7042478	0	0	0	0	3
48	41	0	1.2	79.8664285	78.2893989	74.7523483	79.8893406	5.13699232	11.7042478	0	0	0	0	3
49	42	0	1.225	79.6380044	78.5220491	75.7813999	79.8893406	4.10794077	11.7042478	0	0	0	0	3
50	42	0	1.25	79.8826213	78.7173454	75.8684332	79.8893406	4.02090748	11.7042478	0	0	0	0	3
51	43	0	1.275	79.8458032	78.8952354	75.8684332	79.8893406	4.02090748	11.7042478	0	0	0	0	3
52	44	0	1.3	79.6904791	79.0772376	76.7010759	79.8893406	3.18826476	11.7042478	0	0	0	0	3
53	45	0	1.325	79.8763133	79.2284394	77.5258918	79.8893406	2.3634488	11.7042478	0	0	0	0	3
