Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.05	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.075	0	0	0	0	0	0	0	0	0	0	3
4	4	0	0.1	0	0	0	0	0	0	0	0	0	0	3
5	5	0	0.125	0	0	0	0	0	0	0	0	0	0	3
6	6	0	0.15	0	0	0	0	0	0	0	0	0	0	3
7	7	0	0.175	0	0	0	0	0	0	0	0	0	0	3
8	8	0	0.2	0	0	0	0	0	0	0	0	0	0	3
9	9	0	0.225	0	0	0	0	0	0	0	0	0	0	3
10	10	0	0.25	0	0	0	0	0	0	0	0	0	0	3
11	11	0	0.275	0	0	0	0	0	0	0	0	0	0	3
12	12	0	0.3	0	0	0	0	0	0	0	0	0	0	3
13	12	0	0.325	0	0	0	0	0	0	0	0	0	0	3
14	13	0	0.35	0	0	0	0	0	0	0	0	0	0	3
15	14	0	0.375	0	0	0	0	0	0	0	0	0	0	3
16	15	0	0.4	0	0	0	0	0	0	0	0	0	0	3
17	16	0	0.425	0	0	0	0	0	0	0	0	0	0	3
18	17	0	0.45	0	0	0	0	0	0	0	0	0	0	3
19	18	0	0.475	0	0	0	0	0	0	0	0	0	0	3
20	19	0	0.5	0	0	0	0	0	0	0	0	0	0	3
21	19	0	0.525	0	0	0	0	0	0	0	0	0	0	3
22	20	0	0.55	0	0	0	0	0	0	0	0	0	0	3
23	21	0	0.575	0	0	0	0	0	0	0	0	0	0	3
24	22	0	0.6	0	0	0	0	0	0	0	0	0	0	3
25	22	0	0.625	0	0	0	0	0	0	0	0	0	0	3
26	23	0	0.65	0	0	0	0	0	0	0	0	0	0	3
27	24	0	0.675	0	0	0	0	0	0	0	0	0	0	3
28	25	0	0.7	0	0	0	0	0	0	0	0	0	0	3
29	26	0	0.725	0	0	0	0	0	0	0	0	0	0	3
30	27	0	0.75	0	0	0	0	0	0	0	0	0	0	3
31	27	0	0.775	0	0	0	0	0	0	0	0	0	0	3
32	28	0	0.8	0	0	0	0	0	0	0	0	0	0	3
33	29	0	0.825	0	0	0	0	0	0	0	0	0	0	3
34	30	0	0.85	0	0	0	0	0	0	0	0	0	0	3
35	31	0	0.875	0	0	0	0	0	0	0	0	0	0	3
36	31	0	0.9	0	0	0	0	0	0	0	0	0	0	3
37	32	0	0.925	0	0	0	0	0	0	0	0	0	0	3
38	33	0	0.95	0	0	0	0	0	0	0	0	0	0	3
39	34	0	0.975	0	0	0	0	0	0	0	0	0	0	3
40	34	0	1	0	0	0	0	0	0.001	0	0	0	0	3
41	35	0	1.025	0	0	0	0	0	0.001	0	0	0	0	3
42	36	0	1.05	0	0	0	0	0	0.001	0	0	0	0	3
43	37	0	1.075	0	0	0	0	0	0.001	0	0	0	0	3
44	38	0	1.1	0	0	0	0	0	0.001	0	0	0	0	3
45	39	0	1.125	0	0	0	0	0	0.001	0	0	0	0	3
46	39	0	1.15	0	0	0	0	0	0.001	0	0	0	0	3
47	40	0	1.175	0	0	0	0	0	0.001	0	0	0	0	3
48	41	0	1.2	0	0	0	0	0	0.001	0	0	0	0	3
49	42	0	1.225	0	0	0	0	0	0.001	0	0	0	0	3
50	42	0	1.25	0	0	0	0	0	0.001	0	0	0	0	3
51	43	0	1.275	0	0	0	0	0	0.001	0	0	0	0	3
52	44	0	1.3	0	0	0	0	0	0.001	0	0	0	0	3
53	45	0	1.325	0	0	0	0	0	0.001	0	0	0	0	3
