Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	101322.665	101322.665	101322.665	101322.665	0	0	0	6.5708	0	0	3
2	3	0	0.05	101322.665	101322.665	101322.665	101322.665	7.69796316e-008	0	0	6.5708	0	0	3
3	3	0	0.075	101322.665	101322.665	101322.665	101322.665	1.66968675e-007	0	0	6.5708	0	0	3
4	4	0	0.1	101322.665	101322.665	101322.665	101322.665	2.4822657e-007	0	0	6.5708	0	0	3
5	5	0	0.125	101322.665	101322.665	101322.665	101322.665	3.22339474e-007	0	0	6.5708	0	0	3
6	6	0	0.15	101322.665	101322.665	101322.665	101322.665	3.85771273e-007	0	0	6.5708	0	0	3
7	7	0	0.175	101322.665	101322.665	101322.665	101322.665	4.3939508e-007	0	0	6.5708	0	0	3
8	8	0	0.2	101322.665	101322.665	101322.665	101322.665	4.82919859e-007	0	0	6.5708	0	0	3
9	9	0	0.225	101322.665	101322.665	101322.665	101322.665	5.52419806e-007	0	0	6.5708	0	0	3
10	10	0	0.25	101322.665	101322.665	101322.665	101322.665	7.37010851e-007	0	0	6.5708	0	0	3
11	11	0	0.275	101322.665	101322.665	101322.665	101322.665	8.40562279e-007	0	0	6.5708	0	0	3
12	12	0	0.3	101322.665	101322.665	101322.665	101322.665	8.40562279e-007	0	0	6.57081	0	0	3
13	12	0	0.325	101322.665	101322.665	101322.665	101322.665	4.97880683e-006	0	0	6.57081	0	0	3
14	13	0	0.35	101322.665	101322.665	101322.665	101322.665	3.50079354e-005	0	0	6.5708	0	0	3
15	14	0	0.375	101322.665	101322.665	101322.665	101322.665	8.15417006e-005	0	0	6.57076	0	0	3
16	15	0	0.4	101322.664	101322.665	101322.664	101322.665	0.000139562238	0	0	6.57065	0	0	3
17	16	0	0.425	101322.664	101322.665	101322.664	101322.665	0.000195764151	0	0	6.57075	0	0	3
18	17	0	0.45	101322.664	101322.665	101322.664	101322.665	0.000239437039	0	0	6.57095	0	0	3
19	18	0	0.475	101322.665	101322.665	101322.664	101322.665	0.000264002258	0	0	6.57144	0	0	3
20	19	0	0.5	101322.665	101322.665	101322.664	101322.665	0.000270225573	0	0	6.57195	0	0	3
21	19	0	0.525	101322.665	101322.665	101322.664	101322.665	0.000277746032	0	0	6.57165	0	0	3
22	20	0	0.55	101322.665	101322.665	101322.664	101322.665	0.000280470689	0	0	6.57125	0	0	3
23	21	0	0.575	101322.665	101322.665	101322.664	101322.665	0.000284708163	0	0	6.57096	0	0	3
24	22	0	0.6	101322.665	101322.665	101322.664	101322.665	0.000292025448	0	0	6.57085	0	0	3
25	22	0	0.625	101322.665	101322.665	101322.664	101322.665	0.000301764841	0	0	6.57082	0	0	3
26	23	0	0.65	101322.665	101322.665	101322.664	101322.665	0.000312934295	0	0	6.57082	0	0	3
