Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	298.148393	298.148393	298.148393	298.148393	0	0	0	8.85354	0	0	3
2	3	0	0.05	298.147103	298.147748	298.147103	298.148393	0.000644812928	0	0	11.7322	0	0	3
3	3	0	0.075	298.146048	298.147181	298.146048	298.148393	0.00121149506	0	0	15.3469	0	0	3
4	4	0	0.1	298.145163	298.146677	298.145163	298.148393	0.00171612774	0	0	19.4684	0	0	3
5	5	0	0.125	298.144362	298.146214	298.144362	298.148393	0.00217905931	0	0	23.6381	0	0	3
6	6	0	0.15	298.142952	298.14567	298.142952	298.148393	0.00272272419	0	0	27.7784	0	0	3
7	7	0	0.175	298.140546	298.144938	298.140546	298.148393	0.00345471953	0	0	34.9857	0	0	3
8	8	0	0.2	298.137325	298.143987	298.137325	298.148393	0.00440639337	0	0	36.1618	0	0	3
9	9	0	0.225	298.131882	298.142642	298.131882	298.148393	0.00575135415	0	0	40.6472	0	0	3
10	10	0	0.25	298.128576	298.141235	298.128576	298.148393	0.00715795375	0	0	45.5219	0	0	3
11	11	0	0.275	298.212709	298.147733	298.128576	298.212709	0.00715795375	0	0	74.5808	0	0	3
12	12	0	0.3	298.412037	298.169758	298.128576	298.412037	0.0285230116	0	0	104.101	0	0	3
13	12	0	0.325	298.995927	298.233309	298.128576	298.995927	0.0920744538	0	0	136.138	0	0	3
14	13	0	0.35	299.544116	298.326938	298.128576	299.544116	0.185703487	0	0	169.1	0	0	3
15	14	0	0.375	300.094378	298.444768	298.128576	300.094378	0.303532813	0	0	204.834	0	0	3
16	15	0	0.4	300.337581	298.563069	298.128576	300.337581	0.421833628	0	0	246.56	0	0	3
17	16	0	0.425	300.372309	298.669494	298.128576	300.372309	0.52825952	0	0	288.457	0	0	3
18	17	0	0.45	300.393882	298.765294	298.128576	300.393882	0.624058825	0	0	330.432	0	0	3
19	18	0	0.475	300.469684	298.854999	298.128576	300.469684	0.713763567	0	0	370.444	0	0	3
20	19	0	0.5	300.614098	298.942954	298.128576	300.614098	0.801718551	0	0	408.982	0	0	3
21	19	0	0.525	300.946523	299.08286	298.128576	300.946523	0.941625057	0	0	453.618	0	0	3
22	20	0	0.55	301.328255	299.241918	298.128576	301.328255	1.10068264	0	0	493.34	0	0	3
23	21	0	0.575	301.691047	299.419168	298.128576	301.691047	1.27793258	0	0	530.192	0	0	3
24	22	0	0.6	302.026794	299.613249	298.128576	302.026794	1.47201411	0	0	563.763	0	0	3
25	22	0	0.625	302.342259	299.823144	298.128576	302.342259	1.68190894	0	0	594.792	0	0	3
26	23	0	0.65	302.773665	300.05468	298.128576	302.773665	1.9134446	0	0	630.77	0	0	3
27	24	0	0.675	303.127887	300.304047	298.128576	303.127887	2.16281163	0	0	661.193	0	0	3
28	25	0	0.7	303.442706	300.569316	298.128576	303.442706	2.42808068	0	0	689.232	0	0	3
29	26	0	0.725	303.75058	300.850251	298.128576	303.75058	2.7090156	0	0	714.438	0	0	3
30	27	0	0.75	304.053898	301.146517	298.212709	304.053898	2.99878404	0	0	736.128	0	0	3
31	27	0	0.775	304.342781	301.45302	298.412037	304.342781	3.28326229	0	0	760.068	0	0	3
32	28	0	0.8	304.565365	301.760687	298.995927	304.565365	3.52737725	0	0	780.638	0	0	3
33	29	0	0.825	304.871986	302.05449	299.544116	304.871986	3.72755118	0	0	798.505	0	0	3
34	30	0	0.85	305.110075	302.332788	300.094378	305.110075	3.88801982	0	0	812.735	0	0	3
35	31	0	0.875	305.130178	302.584578	300.337581	305.130178	4.02150899	0	0	824.532	0	0	3
36	31	0	0.9	305.24493	302.829945	300.372309	305.24493	4.16045054	0	0	838.075	0	0	3
37	32	0	0.925	305.360485	303.079354	300.393882	305.360485	4.31406004	0	0	847.998	0	0	3
38	33	0	0.95	305.481613	303.33374	300.469684	305.481613	4.47874184	0	0	855.268	0	0	3
39	34	0	0.975	305.567356	303.588624	300.614098	305.567356	4.64567044	0	0	862.182	0	0	3
40	34	0	1	305.721524	303.843995	300.946523	305.721524	4.76113522	1.00026463	0	867.25	0	0	3
41	35	0	1.025	305.827044	304.088021	301.328255	305.827044	4.49878917	1.01416545	0	871.78	0	0	3
42	36	0	1.05	305.779135	304.310565	301.691047	305.827044	4.13599719	1.01416545	0	876.457	0	0	3
43	37	0	1.075	305.733645	304.512695	302.026794	305.827044	3.80025047	1.01416545	0	879.563	0	0	3
44	38	0	1.1	305.762365	304.572203	302.026794	305.827044	3.80025047	1.01416545	0	881.969	0	0	3
45	39	0	1.125	305.817936	304.752734	302.342259	305.827044	3.48478534	1.01416545	0	884.885	0	0	3
46	39	0	1.15	305.882703	304.921326	302.773665	305.882703	3.10903829	1.0153875	0	887.112	0	0	3
47	40	0	1.175	305.897319	305.070072	303.127887	305.897319	2.76943254	1.01653546	0	887.999	0	0	3
48	41	0	1.2	305.843161	305.199371	303.442706	305.897319	2.45461338	1.01739643	0	889.675	0	0	3
49	42	0	1.225	305.802654	305.311749	303.75058	305.897319	2.1467392	1.01806608	0	891.52	0	0	3
50	42	0	1.25	305.899189	305.414064	304.053898	305.899189	1.84529085	1.01862642	0	892.762	0	0	3
51	43	0	1.275	305.914101	305.502645	304.342781	305.914101	1.57131991	1.01825588	0	893.915	0	0	3
52	44	0	1.3	305.864297	305.575098	304.565365	305.914101	1.34873644	1.01575889	0	895.857	0	0	3
53	45	0	1.325	305.888092	305.638085	304.871986	305.914101	1.04211504	1.00772918	0	896.77	0	0	3
