Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	293.293402	293.293402	293.293402	293.293402	0	0	0	9.10444	0	0	3
2	3	0	0.05	293.437755	293.365579	293.293402	293.437755	0.0721765764	0	0	11.9828	0	0	3
3	3	0	0.075	293.64282	293.457992	293.293402	293.64282	0.164590467	0	0	15.5975	0	0	3
4	4	0	0.1	293.930143	293.57603	293.293402	293.930143	0.282628202	0	0	19.7188	0	0	3
5	5	0	0.125	294.329058	293.726636	293.293402	294.329058	0.433233701	0	0	23.8883	0	0	3
6	6	0	0.15	294.87872	293.91865	293.293402	294.87872	0.625247709	0	0	28.0286	0	0	3
7	7	0	0.175	295.637973	294.164267	293.293402	295.637973	0.870865326	0	0	35.2364	0	0	3
8	8	0	0.2	296.710659	294.482566	293.293402	296.710659	1.18916427	0	0	36.4121	0	0	3
9	9	0	0.225	298.255183	294.901746	293.293402	298.255183	1.60834391	0	0	40.8974	0	0	3
10	10	0	0.25	300.481626	295.459734	293.293402	300.481626	2.1663319	0	0	45.7722	0	0	3
11	11	0	0.275	328.37056	298.451627	293.293402	328.37056	5.15822521	0	0	63.3516	0	0	3
12	12	0	0.3	360.4503	303.618183	293.293402	360.4503	10.3247813	0	0	74.3956	0	0	3
13	12	0	0.325	390.557806	310.305847	293.293402	390.557806	17.0124446	0	0	97.9847	0	0	3
14	13	0	0.35	420.964171	318.210013	293.293402	420.964171	24.9166106	0	0	126.498	0	0	3
15	14	0	0.375	454.359264	327.286629	293.293402	454.359264	33.9932274	0	0	155.824	0	0	3
16	15	0	0.4	494.570902	337.741896	293.293402	494.570902	44.4484945	0	0	190.864	0	0	3
17	16	0	0.425	534.510558	349.316524	293.293402	534.510558	56.0231216	0	0	223.449	0	0	3
18	17	0	0.45	574.541602	361.829028	293.293402	574.541602	68.535626	0	0	249.032	0	0	3
19	18	0	0.475	612.866363	375.041519	293.293402	612.866363	81.7481173	0	0	275.003	0	0	3
20	19	0	0.5	649.913634	388.785125	293.293402	649.913634	95.491723	0	0	298.564	0	0	3
21	19	0	0.525	693.614985	408.801204	293.437755	693.614985	115.435626	0	0	323.379	0	0	3
22	20	0	0.55	732.499702	430.754301	293.64282	732.499702	137.296309	0	0	345.118	0	0	3
23	21	0	0.575	768.76359	454.51034	293.930143	768.76359	160.93431	0	0	359.934	0	0	3
24	22	0	0.6	801.860775	479.906872	294.329058	801.860775	186.180236	0	0	373.636	0	0	3
25	22	0	0.625	832.5228	506.816559	294.87872	832.5228	212.897909	0	0	385.217	0	0	3
26	23	0	0.65	868.158744	535.48056	295.637973	868.158744	241.316293	0	0	396.726	0	0	3
27	24	0	0.675	898.326218	565.614972	296.710659	898.326218	271.132406	0	0	405.037	0	0	3
28	25	0	0.7	926.124631	597.085671	298.255183	926.124631	302.183925	0	0	409.343	0	0	3
29	26	0	0.725	951.117197	629.728771	300.481626	951.117197	334.269038	0	0	416.958	0	0	3
30	27	0	0.75	972.605648	663.334972	328.37056	972.605648	364.883345	0	0	418.411	0	0	3
31	27	0	0.775	996.408944	696.736892	360.4503	996.408944	393.118708	0	0	423.479	0	0	3
32	28	0	0.8	1016.83553	729.556153	390.557806	1016.83553	419.250307	0	0	424.164	0	0	3
33	29	0	0.825	1034.56151	761.756338	420.964171	1034.56151	443.546326	0	0	428.515	0	0	3
34	30	0	0.85	1048.51838	793.134049	454.359264	1048.51838	465.847419	0	0	426.103	0	0	3
35	31	0	0.875	1060.36233	823.434202	494.570902	1060.36233	485.692306	0	0	426.845	0	0	3
36	31	0	0.9	1073.81936	852.396625	534.510558	1073.81936	503.080102	0	0	427.625	0	0	3
37	32	0	0.925	1083.63158	879.852676	574.541602	1083.63158	509.089982	0	0	428.857	0	0	3
38	33	0	0.95	1090.89956	905.670575	612.866363	1090.89956	478.033202	0	0	427.947	0	0	3
39	34	0	0.975	1097.74613	929.914563	649.913634	1097.74613	447.832495	0	0	429.499	0	0	3
40	34	0	1	1102.77646	952.557704	693.614985	1102.77646	409.161474	106.592029	0	428.635	0	0	3
41	35	0	1.025	1107.29501	973.241705	732.499702	1107.29501	374.795305	107.187285	0	429.454	0	0	3
42	36	0	1.05	1111.92818	992.213129	768.76359	1111.92818	343.164587	107.492462	0	430.705	0	0	3
43	37	0	1.075	1115.022	1009.52605	801.860775	1115.022	313.161226	107.717427	0	430.777	0	0	3
44	38	0	1.1	1117.4243	1014.66406	801.860775	1117.4243	315.563527	107.895889	0	430.37	0	0	3
45	39	0	1.125	1120.33157	1029.82934	832.5228	1120.33157	287.808771	108.065083	0	430.356	0	0	3
46	39	0	1.15	1122.51308	1043.6384	868.158744	1122.51308	254.354336	108.225776	0	429.479	0	0	3
47	40	0	1.175	1123.37588	1055.7916	898.326218	1123.37588	225.049665	108.342505	0	430.416	0	0	3
48	41	0	1.2	1125.00407	1066.58578	926.124631	1125.00407	198.879438	108.439199	0	430.054	0	0	3
49	42	0	1.225	1126.88813	1076.14595	951.117197	1126.88813	175.770932	108.519376	0	430.423	0	0	3
50	42	0	1.25	1128.10194	1084.57379	972.605648	1128.10194	155.496288	108.570177	0	429.482	0	0	3
51	43	0	1.275	1129.27777	1092.03437	996.408944	1129.27777	132.868829	108.291826	0	430.222	0	0	3
52	44	0	1.3	1131.17835	1098.45196	1016.83553	1131.17835	114.342823	107.72856	0	429.034	0	0	3
53	45	0	1.325	1132.0767	1103.93963	1034.56151	1132.0767	97.515191	106.955958	0	429.333	0	0	3
