Iteration	CPUTime	PhysTime	Travels	CourFact
1	2	0	0.025	0
2	3	0	0.05	0
3	3	0	0.075	0
4	4	0	0.1	0
5	5	0	0.125	0
6	6	0	0.15	0
7	7	0	0.175	0
8	8	0	0.2	0
9	9	0	0.225	0
10	10	0	0.25	0
11	11	0	0.275	0
12	12	0	0.3	0
13	12	0	0.325	0
14	13	0	0.35	0
15	14	0	0.375	0
16	15	0	0.4	0
17	16	0	0.425	0
18	17	0	0.45	0
19	18	0	0.475	0
20	19	0	0.5	0
21	19	0	0.525	0
22	20	0	0.55	0
23	21	0	0.575	0
24	22	0	0.6	0
25	22	0	0.625	0
26	23	0	0.65	0
27	24	0	0.675	0
28	25	0	0.7	0
29	26	0	0.725	0
30	27	0	0.75	0
31	27	0	0.775	0
32	28	0	0.8	0
33	29	0	0.825	0
34	30	0	0.85	0
35	31	0	0.875	0
36	31	0	0.9	0
37	32	0	0.925	0
38	33	0	0.95	0
39	34	0	0.975	0
40	34	0	1	0
41	35	0	1.025	0
42	36	0	1.05	0
43	37	0	1.075	0
44	38	0	1.1	0
45	39	0	1.125	0
46	39	0	1.15	0
47	40	0	1.175	0
48	41	0	1.2	0
49	42	0	1.225	0
50	42	0	1.25	0
51	43	0	1.275	0
52	44	0	1.3	0
53	45	0	1.325	0
