Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0171826353	0	0	0	0	0	0	0	0	0	0	3
2	8	0	0.0343652705	0	0	0	0	0	0	0	0	0	0	3
3	11	0	0.0515479058	0	0	0	0	0	0	0	0	0	0	3
4	13	0	0.068730541	0	0	0	0	0	0	0	0	0	0	3
5	16	0	0.0859131763	0	0	0	0	0	0	0	0	0	0	3
6	18	0	0.103095812	0	0	0	0	0	0	0	0	0	0	3
7	20	0	0.120278447	0	0	0	0	0	0	0	0	0	0	3
8	23	0	0.137461082	0	0	0	0	0	0	0	0	0	0	3
9	25	0	0.154643717	0	0	0	0	0	0	0	0	0	0	3
10	28	0	0.171826353	0	0	0	0	0	0	0	0	0	0	3
11	30	0	0.189008988	0	0	0	0	0	0	0	0	0	0	3
12	32	0	0.206191623	0	0	0	0	0	0	0	0	0	0	3
13	34	0	0.223374258	0	0	0	0	0	0	0	0	0	0	3
14	37	0	0.240556894	0	0	0	0	0	0	0	0	0	0	3
15	39	0	0.257739529	0	0	0	0	0	0	0	0	0	0	3
16	41	0	0.274922164	0	0	0	0	0	0	0	0	0	0	3
17	43	0	0.292104799	0	0	0	0	0	0	0	0	0	0	3
18	46	0	0.309287435	0	0	0	0	0	0	0	0	0	0	3
19	48	0	0.32647007	0	0	0	0	0	0	0	0	0	0	3
20	50	0	0.343652705	0	0	0	0	0	0	0	0	0	0	3
21	52	0	0.36083534	0	0	0	0	0	0	0	0	0	0	3
22	55	0	0.378017976	0	0	0	0	0	0	0	0	0	0	3
23	57	0	0.395200611	0	0	0	0	0	0	0	0	0	0	3
24	59	0	0.412383246	0	0	0	0	0	0	0	0	0	0	3
25	62	0	0.429565881	0	0	0	0	0	0	0	0	0	0	3
26	64	0	0.446748517	0	0	0	0	0	0	0	0	0	0	3
27	66	0	0.463931152	0	0	0	0	0	0	0	0	0	0	3
28	68	0	0.481113787	0	0	0	0	0	0	0	0	0	0	3
29	71	0	0.498296423	0	0	0	0	0	0	0	0	0	0	3
30	73	0	0.515479058	0	0	0	0	0	0	0	0	0	0	3
31	75	0	0.532661693	0	0	0	0	0	0	0	0	0	0	3
32	77	0	0.549844328	0	0	0	0	0	0	0	0	0	0	3
33	80	0	0.567026964	0	0	0	0	0	0	0	0	0	0	3
34	82	0	0.584209599	0	0	0	0	0	0	0	0	0	0	3
35	84	0	0.601392234	0	0	0	0	0	0	0	0	0	0	3
36	86	0	0.618574869	0	0	0	0	0	0	0	0	0	0	3
37	89	0	0.635757505	0	0	0	0	0	0	0	0	0	0	3
38	91	0	0.65294014	0	0	0	0	0	0	0	0	0	0	3
39	93	0	0.670122775	0	0	0	0	0	0	0	0	0	0	3
40	95	0	0.68730541	0	0	0	0	0	0	0	0	0	0	3
41	98	0	0.704488046	0	0	0	0	0	0	0	0	0	0	3
42	100	0	0.721670681	0	0	0	0	0	0	0	0	0	0	3
43	102	0	0.738853316	0	0	0	0	0	0	0	0	0	0	3
44	104	0	0.756035951	0	0	0	0	0	0	0	0	0	0	3
45	107	0	0.773218587	0	0	0	0	0	0	0	0	0	0	3
46	109	0	0.790401222	0	0	0	0	0	0	0	0	0	0	3
47	112	0	0.807583857	0	0	0	0	0	0	0	0	0	0	3
48	114	0	0.824766492	0	0	0	0	0	0	0	0	0	0	3
49	117	0	0.841949128	0	0	0	0	0	0	0	0	0	0	3
50	119	0	0.859131763	0	0	0	0	0	0	0	0	0	0	3
51	121	0	0.876314398	0	0	0	0	0	0	0	0	0	0	3
52	124	0	0.893497033	0	0	0	0	0	0	0	0	0	0	3
53	126	0	0.910679669	0	0	0	0	0	0	0	0	0	0	3
54	129	0	0.927862304	0	0	0	0	0	0	0	0	0	0	3
55	131	0	0.945044939	0	0	0	0	0	0	0	0	0	0	3
56	133	0	0.962227575	0	0	0	0	0	0	0	0	0	0	3
57	136	0	0.97941021	0	0	0	0	0	0	0	0	0	0	3
58	138	0	0.996592845	0	0	0	0	0	0	0	0	0	0	3
59	141	0	1.01377548	0	0	0	0	0	5e-006	100	0	0	0	3
