Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0171826353	101324.992	101324.992	101324.992	101324.992	0	0	0	2.74618	0	0	3
2	8	0	0.0343652705	101325.007	101325	101324.992	101325.007	0.00740736285	0	0	1.88997	0	0	3
3	11	0	0.0515479058	101324.993	101324.997	101324.992	101325.007	0.00740736285	0	0	1.5503	0	0	3
4	13	0	0.068730541	101324.996	101324.997	101324.992	101325.007	0.00740736285	0	0	1.38315	0	0	3
5	16	0	0.0859131763	101324.995	101324.997	101324.992	101325.007	0.00740736285	0	0	1.15759	0	0	3
6	18	0	0.103095812	101324.997	101324.997	101324.992	101325.007	0.00740736285	0	0	1.02581	0	0	3
7	20	0	0.120278447	101324.998	101324.997	101324.992	101325.007	0.00740736285	0	0	0.874619	0	0	3
8	23	0	0.137461082	101324.998	101324.997	101324.992	101325.007	0.00740736285	0	0	0.676954	0	0	3
9	25	0	0.154643717	101324.999	101324.997	101324.992	101325.007	0.00740736285	0	0	0.474375	0	0	3
10	28	0	0.171826353	101324.999	101324.998	101324.992	101325.007	0.00740736285	0	0	0.332262	0	0	3
11	30	0	0.189008988	101324.999	101324.998	101324.992	101325.007	0.00740736285	0	0	0.262418	0	0	3
12	32	0	0.206191623	101324.999	101324.998	101324.992	101325.007	0.00740736285	0	0	0.220245	0	0	3
13	34	0	0.223374258	101325	101324.998	101324.992	101325.007	0.00740736285	0	0	0.200342	0	0	3
14	37	0	0.240556894	101325	101324.998	101324.992	101325.007	0.00740736285	0	0	0.216136	0	0	3
15	39	0	0.257739529	101325	101324.998	101324.992	101325.007	0.00740736285	0	0	0.236088	0	0	3
16	41	0	0.274922164	101325	101324.998	101324.992	101325.007	0.00740736285	0	0	0.229303	0	0	3
17	43	0	0.292104799	101325	101324.998	101324.992	101325.007	0.00740736285	0	0	0.226086	0	0	3
18	46	0	0.309287435	101325	101324.999	101324.992	101325.007	0.00740736285	0	0	0.217428	0	0	3
19	48	0	0.32647007	101325	101324.999	101324.992	101325.007	0.00740736285	0	0	0.213988	0	0	3
20	50	0	0.343652705	101325	101324.999	101324.992	101325.007	0.00740736285	0	0	0.221051	0	0	3
21	52	0	0.36083534	101325	101324.999	101324.992	101325.007	0.00740736285	0	0	0.224863	0	0	3
22	55	0	0.378017976	101325	101324.999	101324.992	101325.007	0.00740736285	0	0	0.22646	0	0	3
23	57	0	0.395200611	101325	101324.999	101324.992	101325.007	0.00740736285	0	0	0.225273	0	0	3
24	59	0	0.412383246	101325	101324.999	101324.992	101325.007	0.00740736285	0	0	0.223391	0	0	3
25	62	0	0.429565881	101325	101324.999	101324.992	101325.007	0.00740736285	0	0	0.207939	0	0	3
26	64	0	0.446748517	101325	101324.999	101324.992	101325.007	0.00740736285	0	0	0.206799	0	0	3
27	66	0	0.463931152	101325	101324.999	101324.992	101325.007	0.00740736285	0	0	0.190743	0	0	3
28	68	0	0.481113787	101325	101324.999	101324.992	101325.007	0.00740736285	0	0	0.199588	0	0	3
29	71	0	0.498296423	101325	101324.999	101324.992	101325.007	0.00740736285	0	0	0.199886	0	0	3
30	73	0	0.515479058	101325	101324.999	101324.992	101325.007	0.00740736285	0	0	0.205322	0	0	3
31	75	0	0.532661693	101325	101324.999	101324.993	101325.007	0.00283014061	0	0	0.209325	0	0	3
32	77	0	0.549844328	101325	101324.999	101324.993	101325	0.00265444274	0	0	0.210894	0	0	3
33	80	0	0.567026964	101325	101324.999	101324.995	101325	0.00266158399	0	0	0.202877	0	0	3
34	82	0	0.584209599	101325	101325	101324.995	101325	0.00278698246	0	0	0.202884	0	0	3
35	84	0	0.601392234	101325	101325	101324.997	101325	0.00287036847	0	0	0.188691	0	0	3
36	86	0	0.618574869	101325	101325	101324.998	101325	0.00195474575	0	0	0.179823	0	0	3
37	89	0	0.635757505	101325	101325	101324.998	101325	0.00166842504	0	0	0.171421	0	0	3
38	91	0	0.65294014	101325	101325	101324.999	101325	0.00162588207	0	0	0.163436	0	0	3
39	93	0	0.670122775	101325	101325	101324.999	101325	0.00126071842	0	0	0.155778	0	0	3
40	95	0	0.68730541	101325	101325	101324.999	101325	0.00114963601	0	0	0.148294	0	0	3
41	98	0	0.704488046	101325	101325	101324.999	101325	0.000938791272	0	0	0.142778	0	0	3
42	100	0	0.721670681	101325	101325	101325	101325	0.000559969863	0	0	0.138102	0	0	3
43	102	0	0.738853316	101325	101325	101325	101325	0.000313310433	0	0	0.133028	0	0	3
44	104	0	0.756035951	101325	101325	101325	101325	0.00014454902	0	0	0.128973	0	0	3
45	107	0	0.773218587	101325	101325	101325	101325	0.00014942819	0	0	0.12409	0	0	3
46	109	0	0.790401222	101325	101325	101325	101325	0.000163619567	0	0	0.119532	0	0	3
47	112	0	0.807583857	101325	101325	101325	101325	0.000173341163	0	0	0.114078	0	0	3
48	114	0	0.824766492	101325	101325	101325	101325	0.000201328192	0	0	0.101808	0	0	3
49	117	0	0.841949128	101325	101325	101325	101325	0.000201015297	0	0	0.0956583	0	0	3
50	119	0	0.859131763	101325	101325	101325	101325	0.000173136112	0	0	0.0914889	0	0	3
51	121	0	0.876314398	101325	101325	101325	101325	0.000173136112	0	0	0.0881429	0	0	3
52	124	0	0.893497033	101325	101325	101325	101325	0.000170009982	0	0	0.0844019	0	0	3
53	126	0	0.910679669	101325	101325	101325	101325	0.000170009982	0	0	0.0819417	0	0	3
54	129	0	0.927862304	101325	101325	101325	101325	0.000170009982	0	0	0.0784575	0	0	3
55	131	0	0.945044939	101325	101325	101325	101325	0.000170009982	0	0	0.0755916	0	0	3
56	133	0	0.962227575	101325	101325	101325	101325	0.000170009982	0	0	0.0736717	0	0	3
57	136	0	0.97941021	101325	101325	101325	101325	0.000170009982	0	0	0.0711242	0	0	3
58	138	0	0.996592845	101325	101325	101325	101325	0.000170009982	0	0	0.0691098	0	0	3
59	141	0	1.01377548	101325	101325	101325	101325	0.000170009982	0.00101325	100	0.067356	0	0	3
