Iteration	CPUTime	PhysTime	Travels	CourFact
1	6	0	0.0171826353	0
2	8	0	0.0343652705	0
3	11	0	0.0515479058	0
4	13	0	0.068730541	0
5	16	0	0.0859131763	0
6	18	0	0.103095812	0
7	20	0	0.120278447	0
8	23	0	0.137461082	0
9	25	0	0.154643717	0
10	28	0	0.171826353	0
11	30	0	0.189008988	0
12	32	0	0.206191623	0
13	34	0	0.223374258	0
14	37	0	0.240556894	0
15	39	0	0.257739529	0
16	41	0	0.274922164	0
17	43	0	0.292104799	0
18	46	0	0.309287435	0
19	48	0	0.32647007	0
20	50	0	0.343652705	0
21	52	0	0.36083534	0
22	55	0	0.378017976	0
23	57	0	0.395200611	0
24	59	0	0.412383246	0
25	62	0	0.429565881	0
26	64	0	0.446748517	0
27	66	0	0.463931152	0
28	68	0	0.481113787	0
29	71	0	0.498296423	0
30	73	0	0.515479058	0
31	75	0	0.532661693	0
32	77	0	0.549844328	0
33	80	0	0.567026964	0
34	82	0	0.584209599	0
35	84	0	0.601392234	0
36	86	0	0.618574869	0
37	89	0	0.635757505	0
38	91	0	0.65294014	0
39	93	0	0.670122775	0
40	95	0	0.68730541	0
41	98	0	0.704488046	0
42	100	0	0.721670681	0
43	102	0	0.738853316	0
44	104	0	0.756035951	0
45	107	0	0.773218587	0
46	109	0	0.790401222	0
47	112	0	0.807583857	0
48	114	0	0.824766492	0
49	117	0	0.841949128	0
50	119	0	0.859131763	0
51	121	0	0.876314398	0
52	124	0	0.893497033	0
53	126	0	0.910679669	0
54	129	0	0.927862304	0
55	131	0	0.945044939	0
56	133	0	0.962227575	0
57	136	0	0.97941021	0
58	138	0	0.996592845	0
59	141	0	1.01377548	0
