Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0171826353	293.2	293.2	293.2	293.2	0	0	0	3.60047e-005	0	0	3
2	8	0	0.0343652705	293.2	293.2	293.2	293.2	1.33024969e-009	0	0	3.51795e-005	0	0	3
3	11	0	0.0515479058	293.2	293.2	293.2	293.2	2.13930207e-009	0	0	3.5144e-005	0	0	3
4	13	0	0.068730541	293.2	293.2	293.2	293.2	2.7536089e-009	0	0	3.41968e-005	0	0	3
5	16	0	0.0859131763	293.2	293.2	293.2	293.2	3.28827809e-009	0	0	3.32089e-005	0	0	3
6	18	0	0.103095812	293.2	293.2	293.2	293.2	3.79878884e-009	0	0	3.09068e-005	0	0	3
7	20	0	0.120278447	293.2	293.2	293.2	293.2	4.31538183e-009	0	0	3.13388e-005	0	0	3
8	23	0	0.137461082	293.2	293.2	293.2	293.2	4.85817964e-009	0	0	3.47282e-005	0	0	3
9	25	0	0.154643717	293.2	293.2	293.2	293.2	5.47402124e-009	0	0	3.82621e-005	0	0	3
10	28	0	0.171826353	293.2	293.2	293.2	293.2	6.17120577e-009	0	0	3.91812e-005	0	0	3
11	30	0	0.189008988	293.2	293.2	293.2	293.2	7.06745595e-009	0	0	3.88368e-005	0	0	3
12	32	0	0.206191623	293.2	293.2	293.2	293.2	8.0987661e-009	0	0	3.66828e-005	0	0	3
13	34	0	0.223374258	293.2	293.2	293.2	293.2	9.23949983e-009	0	0	3.15348e-005	0	0	3
14	37	0	0.240556894	293.2	293.2	293.2	293.2	1.04735705e-008	0	0	2.49689e-005	0	0	3
15	39	0	0.257739529	293.2	293.2	293.2	293.2	1.18050707e-008	0	0	1.80906e-005	0	0	3
16	41	0	0.274922164	293.2	293.2	293.2	293.2	1.34115794e-008	0	0	1.42792e-005	0	0	3
17	43	0	0.292104799	293.2	293.2	293.2	293.2	1.52958819e-008	0	0	1.42773e-005	0	0	3
18	46	0	0.309287435	293.2	293.2	293.2	293.2	1.74789534e-008	0	0	1.47667e-005	0	0	3
19	48	0	0.32647007	293.2	293.2	293.2	293.2	1.99714805e-008	0	0	1.51087e-005	0	0	3
20	50	0	0.343652705	293.2	293.2	293.2	293.2	2.28014869e-008	0	0	1.55296e-005	0	0	3
21	52	0	0.36083534	293.2	293.2	293.2	293.2	2.62539857e-008	0	0	1.54895e-005	0	0	3
22	55	0	0.378017976	293.2	293.2	293.2	293.2	3.03680281e-008	0	0	1.66046e-005	0	0	3
23	57	0	0.395200611	293.2	293.2	293.2	293.2	3.50981963e-008	0	0	1.59948e-005	0	0	3
24	59	0	0.412383246	293.2	293.2	293.2	293.2	4.04467642e-008	0	0	1.61019e-005	0	0	3
25	62	0	0.429565881	293.2	293.2	293.2	293.2	4.63361403e-008	0	0	1.6219e-005	0	0	3
26	64	0	0.446748517	293.2	293.2	293.2	293.2	5.31779278e-008	0	0	1.62066e-005	0	0	3
27	66	0	0.463931152	293.2	293.2	293.2	293.2	6.08409323e-008	0	0	1.60934e-005	0	0	3
28	68	0	0.481113787	293.2	293.2	293.2	293.2	6.92437538e-008	0	0	1.60757e-005	0	0	3
29	71	0	0.498296423	293.2	293.2	293.2	293.2	7.82674761e-008	0	0	1.58706e-005	0	0	3
30	73	0	0.515479058	293.2	293.2	293.2	293.2	8.78445121e-008	0	0	1.56923e-005	0	0	3
31	75	0	0.532661693	293.2	293.2	293.2	293.2	1.00256955e-007	0	0	1.53439e-005	0	0	3
32	77	0	0.549844328	293.2	293.2	293.2	293.2	1.14558532e-007	0	0	1.49784e-005	0	0	3
33	80	0	0.567026964	293.200001	293.2	293.2	293.200001	1.30308365e-007	0	0	1.47338e-005	0	0	3
34	82	0	0.584209599	293.200001	293.2	293.2	293.200001	1.47328876e-007	0	0	1.43803e-005	0	0	3
35	84	0	0.601392234	293.200001	293.2	293.2	293.200001	1.65415258e-007	0	0	1.40283e-005	0	0	3
36	86	0	0.618574869	293.200001	293.2	293.2	293.200001	1.84845987e-007	0	0	1.3629e-005	0	0	3
37	89	0	0.635757505	293.200001	293.2	293.2	293.200001	2.05416484e-007	0	0	1.31728e-005	0	0	3
38	91	0	0.65294014	293.200001	293.2	293.2	293.200001	2.2689062e-007	0	0	1.26975e-005	0	0	3
39	93	0	0.670122775	293.200001	293.2	293.2	293.200001	2.49071888e-007	0	0	1.2342e-005	0	0	3
40	95	0	0.68730541	293.200001	293.2	293.2	293.200001	2.71682154e-007	0	0	1.19303e-005	0	0	3
41	98	0	0.704488046	293.200001	293.2	293.2	293.200001	2.94799463e-007	0	0	1.14757e-005	0	0	3
42	100	0	0.721670681	293.200001	293.2	293.2	293.200001	3.18212528e-007	0	0	1.11026e-005	0	0	3
43	102	0	0.738853316	293.200001	293.2	293.2	293.200001	3.41894008e-007	0	0	1.07176e-005	0	0	3
44	104	0	0.756035951	293.200001	293.2	293.2	293.200001	3.65619712e-007	0	0	1.03725e-005	0	0	3
45	107	0	0.773218587	293.200001	293.2	293.2	293.200001	3.89197339e-007	0	0	1.00801e-005	0	0	3
46	109	0	0.790401222	293.200001	293.2	293.2	293.200001	4.12346537e-007	0	0	9.77625e-006	0	0	3
47	112	0	0.807583857	293.200001	293.2	293.2	293.200001	4.35005745e-007	0	0	9.48642e-006	0	0	3
48	114	0	0.824766492	293.200001	293.2	293.2	293.200001	4.57040755e-007	0	0	9.19037e-006	0	0	3
49	117	0	0.841949128	293.200001	293.200001	293.2	293.200001	4.78459185e-007	0	0	9.01558e-006	0	0	3
50	119	0	0.859131763	293.200001	293.200001	293.2	293.200001	4.98943791e-007	0	0	8.67851e-006	0	0	3
51	121	0	0.876314398	293.200001	293.200001	293.2	293.200001	5.18261288e-007	0	0	8.89934e-006	0	0	3
52	124	0	0.893497033	293.200001	293.200001	293.2	293.200001	5.3661563e-007	0	0	9.17408e-006	0	0	3
53	126	0	0.910679669	293.200001	293.200001	293.2	293.200001	5.54550184e-007	0	0	9.19028e-006	0	0	3
54	129	0	0.927862304	293.200001	293.200001	293.2	293.200001	5.72079671e-007	0	0	7.8122e-006	0	0	3
